Claim_ID,SKU,Failed_Component,Claim_Date,Days_In_Service,Repair_Cost,Resolution,Failure_Symptom
WC-00763,LAP-VOR-0023,Webcam Module,2024-03-03,38,50.35,Repaired,Random shutdowns
WC-00764,EAR-SOL-0006,Speaker Driver,2024-11-02,603,32.2,Replaced,Random shutdowns
WC-00765,PHN-EMB-0015,Logic Board,2024-07-15,707,315.09,Pending,Cracked/damaged
WC-00766,PHN-EMB-0013,Charging Port,2026-03-27,828,19.98,Replaced,Won't power on
WC-00767,LAP-VOR-0016,Keyboard Assembly,2026-03-07,417,47.63,Refunded,Not charging
WC-00768,TAB-SOL-0019,Battery,2025-12-24,40,49.51,Pending,Not charging
WC-00769,PHN-SOL-0030,Logic Board,2025-06-23,580,367.12,Replaced,Malfunctioning
WC-00770,LAP-NIM-0032,Battery,2024-05-14,123,110.34,Refunded,Malfunctioning
WC-00771,PHN-NIM-0008,OLED Display,2026-01-24,26,222.68,Repaired,Unresponsive
WC-00772,LAP-VOR-0010,Battery,2025-09-23,251,55.25,Repaired,Not charging
WC-00773,LAP-VOR-0016,Cooling Fan,2024-12-26,966,46.25,Replaced,Random shutdowns
WC-00774,LAP-EMB-0020,Battery,2024-12-24,986,199.95,Replaced,Battery drains fast
WC-00775,TAB-EMB-0011,Battery,2026-05-12,891,36.77,Refunded,Cracked/damaged
WC-00776,LAP-SOL-0007,Keyboard Assembly,2024-06-01,25,71.62,Pending,Overheating
WC-00777,TAB-ORB-0003,Touch Display,2025-08-04,372,252.44,Refunded,Battery drains fast
WC-00778,LAP-NIM-0012,Battery,2025-03-04,987,72.31,Replaced,Not charging
WC-00779,LAP-VOR-0018,Cooling Fan,2026-03-11,192,47.97,Pending,Battery drains fast
WC-00780,LAP-VOR-0035,RAM Module,2025-05-19,264,126.92,Repaired,Won't power on
WC-00781,LAP-NIM-0032,Cooling Fan,2025-02-14,666,34.71,Repaired,Cracked/damaged
WC-00782,LAP-ZEN-0030,Keyboard Assembly,2025-03-05,995,70.83,Refunded,Unresponsive
WC-00783,LAP-VOR-0035,Cooling Fan,2026-03-19,816,57.49,Pending,Cracked/damaged
WC-00784,LAP-VOR-0035,Motherboard,2025-12-12,52,287.63,Pending,Won't power on
WC-00785,PHN-ZEN-0023,OLED Display,2024-04-02,199,222.58,Repaired,Malfunctioning
WC-00786,TAB-NIM-0022,Battery,2025-01-05,76,74.16,Repaired,Unresponsive
WC-00787,EAR-SOL-0003,Battery,2025-10-14,347,29.48,Replaced,Battery drains fast
WC-00788,WCH-ZEN-0012,Logic Board,2026-02-16,446,127.01,Pending,Battery drains fast
WC-00789,EAR-VOR-0009,Battery,2024-12-09,212,26.48,Repaired,Unresponsive
WC-00790,LAP-VOR-0010,RAM Module,2026-03-24,343,83.49,Replaced,Malfunctioning
WC-00791,LAP-EMB-0020,Cooling Fan,2024-08-18,855,37.67,Pending,Malfunctioning
WC-00792,PHN-SOL-0035,Charging Port,2025-07-23,522,43.02,Refunded,Overheating
WC-00793,TAB-SOL-0016,Charging Port,2025-09-21,912,31.36,Refunded,Battery drains fast
WC-00794,LAP-ORB-0022,Motherboard,2025-01-10,195,289.93,Refunded,Cracked/damaged
WC-00795,LAP-VOR-0010,Cooling Fan,2025-09-05,966,49.2,Replaced,Not charging
WC-00796,TAB-EMB-0011,Logic Board,2025-11-26,883,263.84,Repaired,Won't power on
WC-00797,PHN-VOR-0032,Battery,2026-02-18,509,45.79,Pending,Unresponsive
WC-00798,TAB-EMB-0001,Logic Board,2025-03-05,767,161.48,Replaced,Not charging
WC-00799,LAP-SOL-0007,Motherboard,2024-05-17,82,384.71,Pending,Won't power on
WC-00800,WCH-ZEN-0012,Battery,2024-06-04,473,42.18,Repaired,Not charging
WC-00801,TAB-VOR-0015,Charging Port,2025-10-05,492,32.06,Repaired,Won't power on
WC-00802,TAB-ORB-0003,Touch Display,2024-11-18,973,233.14,Replaced,Battery drains fast
WC-00803,LAP-VOR-0023,Cooling Fan,2024-04-18,157,28.88,Replaced,Won't power on
WC-00804,PHN-ORB-0014,Logic Board,2025-11-16,273,638.06,Pending,Cracked/damaged
WC-00805,WCH-ZEN-0007,Battery,2024-12-19,120,38.57,Replaced,Unresponsive
WC-00806,TAB-SOL-0014,Logic Board,2026-02-02,76,123.87,Replaced,Not charging
WC-00807,PHN-VOR-0020,Battery,2025-04-07,495,52.75,Refunded,Battery drains fast
WC-00808,LAP-EMB-0020,Battery,2024-09-25,363,182.29,Pending,Not charging
WC-00809,LAP-SOL-0015,Cooling Fan,2025-04-07,742,32.57,Replaced,Malfunctioning
WC-00810,TAB-ZEN-0004,Touch Display,2024-11-01,801,187.86,Replaced,Overheating
WC-00811,LAP-NIM-0006,Cooling Fan,2025-12-02,297,38.15,Replaced,Cracked/damaged
WC-00812,PHN-VOR-0032,Charging Port,2025-10-26,793,62.7,Pending,Overheating
WC-00813,EAR-VOR-0008,Charging Case,2025-03-20,295,59.27,Repaired,Not charging
WC-00814,PHN-EMB-0005,Charging Port,2024-04-14,76,35.58,Replaced,Malfunctioning
WC-00815,LAP-ZEN-0030,Battery,2026-05-28,473,87.5,Replaced,Unresponsive
WC-00816,LAP-EMB-0008,Display Panel,2025-07-21,292,304.25,Pending,Won't power on
WC-00817,PHN-VOR-0003,Battery,2025-05-13,52,58.56,Replaced,Malfunctioning
WC-00818,PHN-VOR-0020,Battery,2025-11-02,582,63.07,Repaired,Malfunctioning
WC-00819,LAP-EMB-0008,Motherboard,2024-04-29,172,291.58,Pending,Malfunctioning
WC-00820,PHN-ORB-0017,Battery,2024-02-26,551,63.46,Refunded,Won't power on
WC-00821,PHN-EMB-0022,Battery,2026-01-05,895,79.69,Refunded,Malfunctioning
WC-00822,WCH-SOL-0002,Logic Board,2024-11-03,713,94.61,Repaired,Battery drains fast
WC-00823,LAP-EMB-0020,Cooling Fan,2025-01-25,873,57.75,Pending,Malfunctioning
WC-00824,TAB-ZEN-0004,Logic Board,2025-09-23,682,222.79,Repaired,Random shutdowns
WC-00825,EAR-SOL-0006,Battery,2026-01-18,170,22.34,Pending,Random shutdowns
WC-00826,WCH-VOR-0008,Logic Board,2024-10-25,225,151.48,Replaced,Random shutdowns
WC-00827,TAB-ORB-0003,Logic Board,2024-09-09,719,300.18,Repaired,Unresponsive
WC-00828,EAR-ZEN-0005,Battery,2025-05-11,154,38.55,Refunded,Overheating
WC-00829,TAB-SOL-0002,Logic Board,2026-02-07,298,188.5,Pending,Not charging
WC-00830,LAP-VOR-0016,Keyboard Assembly,2025-01-29,375,44.74,Pending,Won't power on
WC-00831,LAP-ZEN-0030,SSD Storage,2025-05-22,859,108.41,Pending,Cracked/damaged
WC-00832,PHN-EMB-0022,Logic Board,2024-04-23,250,165.62,Refunded,Won't power on
WC-00833,PHN-NIM-0026,Charging Port,2024-10-27,291,43.63,Pending,Not charging
WC-00834,PHN-ORB-0028,Battery,2024-03-13,606,62.86,Repaired,Malfunctioning
WC-00835,TAB-ZEN-0004,Battery,2024-05-12,389,68.02,Pending,Not charging
WC-00836,WCH-ZEN-0018,Display,2025-08-21,705,89.65,Replaced,Won't power on
WC-00837,LAP-ORB-0024,RAM Module,2024-04-24,461,55.02,Pending,Unresponsive
WC-00838,PHN-ORB-0004,Battery,2025-01-07,489,101.77,Replaced,Malfunctioning
WC-00839,PHN-SOL-0030,OLED Display,2025-12-17,673,195.98,Repaired,Won't power on
WC-00840,LAP-SOL-0015,Battery,2024-10-15,158,169.64,Replaced,Random shutdowns
WC-00841,PHN-NIM-0008,Charging Port,2026-01-27,648,20.93,Refunded,Cracked/damaged
WC-00842,LAP-VOR-0035,Motherboard,2024-11-20,17,233.92,Refunded,Cracked/damaged
WC-00843,LAP-EMB-0020,Battery,2025-08-24,351,127.53,Pending,Cracked/damaged
WC-00844,TAB-NIM-0020,Battery,2026-03-21,241,58.35,Pending,Battery drains fast
WC-00845,LAP-ORB-0005,Battery,2024-11-14,841,110.34,Pending,Unresponsive
WC-00846,TAB-NIM-0020,Speaker Unit,2026-05-25,112,35.12,Refunded,Cracked/damaged
WC-00847,PHN-ZEN-0002,Charging Port,2025-12-22,864,53.81,Pending,Overheating
WC-00848,TAB-VOR-0008,Logic Board,2024-01-08,365,335.1,Replaced,Overheating
WC-00849,PHN-ORB-0014,OLED Display,2024-02-08,329,203.03,Refunded,Won't power on
WC-00850,LAP-NIM-0002,Battery,2025-11-20,828,67.41,Replaced,Overheating
WC-00851,WCH-VOR-0008,Battery,2026-05-01,596,35.96,Repaired,Malfunctioning
WC-00852,PHN-SOL-0010,Battery,2025-05-21,336,53.9,Pending,Cracked/damaged
WC-00853,LAP-VOR-0010,Cooling Fan,2025-08-21,810,39.06,Pending,Won't power on
WC-00854,PHN-NIM-0026,Logic Board,2025-12-12,977,451.83,Refunded,Malfunctioning
WC-00855,PHN-EMB-0015,Speaker Unit,2025-09-11,599,32.51,Replaced,Unresponsive
WC-00856,PHN-VOR-0032,Charging Port,2025-01-05,755,30.32,Pending,Malfunctioning
WC-00857,PHN-ZEN-0023,OLED Display,2025-09-25,135,132.06,Repaired,Unresponsive
WC-00858,PHN-ORB-0031,Logic Board,2025-09-13,526,358.22,Pending,Battery drains fast
WC-00859,LAP-EMB-0020,Battery,2025-03-15,513,169.98,Repaired,Unresponsive
WC-00860,PHN-EMB-0033,Logic Board,2026-02-28,57,410.88,Refunded,Not charging
WC-00861,LAP-ZEN-0030,Webcam Module,2025-09-05,709,47.47,Pending,Random shutdowns
WC-00862,PHN-NIM-0008,Battery,2024-10-13,250,50.29,Replaced,Unresponsive
WC-00863,LAP-ZEN-0026,Display Panel,2026-04-30,800,260.84,Pending,Malfunctioning
WC-00864,TAB-EMB-0011,Logic Board,2025-04-02,759,402.1,Pending,Not charging
WC-00865,EAR-SOL-0012,Charging Case,2025-01-10,958,36.81,Replaced,Overheating
WC-00866,WCH-ZEN-0012,Strap/Band,2024-03-22,824,39.68,Refunded,Overheating
WC-00867,PHN-SOL-0030,Logic Board,2026-06-14,843,366.13,Repaired,Not charging
WC-00868,TAB-ZEN-0005,Battery,2024-05-07,887,66.12,Repaired,Won't power on
WC-00869,PHN-ORB-0014,OLED Display,2026-02-14,380,239.37,Replaced,Won't power on
WC-00870,WCH-ORB-0014,Logic Board,2024-11-28,753,76.96,Refunded,Unresponsive
WC-00871,PHN-SOL-0035,Logic Board,2026-02-06,674,325.1,Replaced,Malfunctioning
WC-00872,LAP-ORB-0024,RAM Module,2025-12-02,801,87.15,Replaced,Malfunctioning
WC-00873,WCH-NIM-0001,Battery,2025-09-23,602,55.98,Pending,Overheating
WC-00874,WCH-EMB-0010,Logic Board,2024-01-10,859,148.61,Repaired,Battery drains fast
WC-00875,PHN-ORB-0004,Logic Board,2026-05-14,234,245.49,Replaced,Random shutdowns
WC-00876,EAR-VOR-0008,Bluetooth Chip,2024-11-06,289,47.53,Repaired,Battery drains fast
WC-00877,LAP-EMB-0027,Keyboard Assembly,2024-10-22,80,55.03,Refunded,Overheating
WC-00878,TAB-ZEN-0004,Logic Board,2024-10-25,59,219.89,Replaced,Overheating
WC-00879,PHN-EMB-0033,Charging Port,2026-05-16,64,25.83,Refunded,Overheating
WC-00880,WCH-ZEN-0012,Logic Board,2025-12-08,115,103.52,Replaced,Random shutdowns
WC-00881,LAP-EMB-0008,Display Panel,2026-06-09,375,376.31,Pending,Cracked/damaged
WC-00882,LAP-SOL-0007,Battery,2025-06-07,532,154.56,Pending,Not charging
WC-00883,TAB-VOR-0015,Battery,2025-02-19,591,84.51,Refunded,Cracked/damaged
WC-00884,EAR-ORB-0016,Battery,2025-03-19,905,29.45,Refunded,Unresponsive
WC-00885,WCH-ZEN-0007,Battery,2025-10-26,503,30.69,Repaired,Random shutdowns
WC-00886,TAB-ZEN-0004,Logic Board,2025-09-29,513,247.39,Repaired,Battery drains fast
WC-00887,LAP-NIM-0002,Cooling Fan,2024-08-24,588,48.8,Refunded,Malfunctioning
WC-00888,PHN-EMB-0005,Logic Board,2025-04-13,753,304.25,Pending,Random shutdowns
WC-00889,LAP-EMB-0027,Motherboard,2026-03-10,418,409.26,Refunded,Battery drains fast
WC-00890,PHN-EMB-0009,OLED Display,2025-08-16,68,125.42,Pending,Battery drains fast
WC-00891,PHN-EMB-0022,Camera Module,2026-02-01,929,52.93,Replaced,Unresponsive
WC-00892,PHN-ZEN-0012,Battery,2025-05-20,906,32.69,Replaced,Random shutdowns
WC-00893,PHN-SOL-0025,Logic Board,2025-09-02,116,643.29,Pending,Malfunctioning
WC-00894,LAP-ZEN-0014,Cooling Fan,2024-04-14,908,46.34,Replaced,Battery drains fast
WC-00895,LAP-ORB-0005,Cooling Fan,2026-06-11,852,47.73,Refunded,Battery drains fast
WC-00896,PHN-ORB-0031,Battery,2025-05-31,68,86.55,Replaced,Unresponsive
WC-00897,PHN-NIM-0021,Charging Port,2026-04-11,208,31.49,Replaced,Random shutdowns
WC-00898,PHN-SOL-0025,Logic Board,2026-01-27,234,524.64,Replaced,Random shutdowns
WC-00899,LAP-ORB-0028,Cooling Fan,2024-12-07,956,45.53,Repaired,Won't power on
WC-00900,PHN-SOL-0035,Logic Board,2024-04-12,154,483.49,Refunded,Battery drains fast
WC-00901,LAP-NIM-0002,Battery,2024-12-14,490,73.68,Refunded,Cracked/damaged
WC-00902,TAB-EMB-0011,Logic Board,2024-04-03,856,202.37,Pending,Overheating
WC-00903,PHN-SOL-0006,Battery,2025-04-19,841,73.54,Refunded,Random shutdowns
WC-00904,WCH-NIM-0005,Display,2024-03-27,158,102.74,Pending,Overheating
WC-00905,PHN-ORB-0031,Logic Board,2025-09-06,752,355.78,Refunded,Malfunctioning
WC-00906,LAP-EMB-0027,Motherboard,2024-02-03,539,379.29,Replaced,Not charging
WC-00907,TAB-EMB-0001,Charging Port,2024-04-11,47,32.82,Repaired,Not charging
WC-00908,PHN-EMB-0009,Logic Board,2024-08-02,375,268.01,Replaced,Malfunctioning
WC-00909,PHN-VOR-0029,Logic Board,2025-06-14,122,460.24,Repaired,Malfunctioning
WC-00910,WCH-ZEN-0012,Battery,2025-05-30,291,63.07,Refunded,Random shutdowns
WC-00911,LAP-SOL-0015,Battery,2025-12-04,821,95.35,Refunded,Malfunctioning
WC-00912,TAB-SOL-0016,Logic Board,2024-04-30,344,171.81,Pending,Random shutdowns
WC-00913,PHN-VOR-0007,Camera Module,2026-01-15,473,63.5,Pending,Overheating
WC-00914,LAP-SOL-0029,Motherboard,2024-07-17,836,226.75,Replaced,Cracked/damaged
WC-00915,LAP-SOL-0015,RAM Module,2026-05-18,405,116.32,Pending,Won't power on
WC-00916,PHN-ORB-0031,Logic Board,2024-07-05,950,338.03,Refunded,Cracked/damaged
WC-00917,EAR-VOR-0009,Battery,2024-02-17,38,25.2,Replaced,Overheating
WC-00918,TAB-SOL-0002,Touch Display,2025-10-02,961,172.12,Replaced,Cracked/damaged
WC-00919,PHN-EMB-0013,Logic Board,2024-06-21,897,301.46,Refunded,Malfunctioning
WC-00920,PHN-SOL-0010,Charging Port,2025-05-12,623,51.67,Refunded,Battery drains fast
WC-00921,LAP-ZEN-0031,Display Panel,2025-08-05,946,401.63,Replaced,Unresponsive
WC-00922,WCH-VOR-0008,Logic Board,2024-02-02,681,127.22,Refunded,Overheating
WC-00923,WCH-NIM-0001,Battery,2025-01-31,28,60.51,Replaced,Battery drains fast
WC-00924,PHN-NIM-0008,Camera Module,2025-06-01,563,49.51,Replaced,Won't power on
WC-00925,LAP-ZEN-0013,Battery,2026-01-22,134,144.5,Pending,Random shutdowns
WC-00926,PHN-NIM-0016,OLED Display,2024-06-18,158,386.41,Refunded,Battery drains fast
WC-00927,WCH-ZEN-0007,Logic Board,2025-12-01,859,132.8,Replaced,Cracked/damaged
WC-00928,LAP-SOL-0015,Motherboard,2025-02-22,735,238.38,Pending,Overheating
WC-00929,LAP-ZEN-0013,Motherboard,2025-07-16,500,242.59,Replaced,Unresponsive
WC-00930,LAP-ORB-0001,Cooling Fan,2025-03-22,973,26.03,Repaired,Unresponsive
WC-00931,WCH-ZEN-0007,Display,2026-02-19,657,88.91,Repaired,Battery drains fast
WC-00932,PHN-EMB-0013,Battery,2025-02-09,871,91.16,Refunded,Malfunctioning
WC-00933,LAP-NIM-0002,Cooling Fan,2026-06-19,896,46.64,Pending,Won't power on
WC-00934,LAP-VOR-0018,Keyboard Assembly,2024-04-18,649,98.15,Refunded,Malfunctioning
WC-00935,LAP-ORB-0036,Cooling Fan,2025-04-07,519,24.85,Pending,Cracked/damaged
WC-00936,WCH-NIM-0001,Battery,2024-07-20,823,29.64,Refunded,Cracked/damaged
WC-00937,LAP-ORB-0005,Webcam Module,2025-06-17,785,22.86,Refunded,Won't power on
WC-00938,PHN-NIM-0024,OLED Display,2025-08-27,152,240.53,Pending,Won't power on
WC-00939,LAP-VOR-0009,Motherboard,2025-09-16,71,169.78,Repaired,Not charging
WC-00940,LAP-VOR-0009,Motherboard,2024-05-01,28,131.04,Refunded,Cracked/damaged
WC-00941,WCH-SOL-0004,Strap/Band,2025-12-12,111,37.32,Refunded,Overheating
WC-00942,LAP-EMB-0008,Keyboard Assembly,2024-05-28,372,76.41,Replaced,Cracked/damaged
WC-00943,LAP-EMB-0020,Keyboard Assembly,2025-12-08,615,79.87,Replaced,Malfunctioning
WC-00944,PHN-VOR-0020,Logic Board,2024-11-20,446,383.74,Pending,Overheating
WC-00945,WCH-VOR-0017,Display,2026-02-20,798,122.35,Repaired,Won't power on
WC-00946,WCH-ZEN-0018,Battery,2024-09-07,766,60.83,Refunded,Cracked/damaged
WC-00947,TAB-EMB-0001,Battery,2025-11-21,993,94.72,Refunded,Not charging
WC-00948,LAP-EMB-0020,Display Panel,2025-04-14,352,225.07,Pending,Overheating
WC-00949,TAB-NIM-0020,Touch Display,2024-07-05,236,145.94,Repaired,Overheating
WC-00950,PHN-ORB-0031,Logic Board,2024-10-24,28,240.05,Pending,Malfunctioning
WC-00951,TAB-NIM-0020,Battery,2025-10-18,831,70.27,Replaced,Battery drains fast
WC-00952,TAB-VOR-0018,Logic Board,2024-12-03,978,96.3,Refunded,Overheating
WC-00953,TAB-VOR-0018,Battery,2024-04-20,625,63.94,Pending,Random shutdowns
WC-00954,LAP-ZEN-0013,RAM Module,2025-08-02,219,143.78,Pending,Not charging
WC-00955,LAP-VOR-0009,Keyboard Assembly,2026-03-02,351,118.68,Refunded,Random shutdowns
WC-00956,TAB-ORB-0021,Logic Board,2024-09-15,927,183.75,Replaced,Malfunctioning
WC-00957,PHN-ORB-0031,Logic Board,2025-11-21,405,397.33,Pending,Battery drains fast
WC-00958,LAP-ZEN-0034,Webcam Module,2024-04-11,745,35.28,Replaced,Cracked/damaged
WC-00959,WCH-VOR-0013,Logic Board,2024-11-05,213,59.3,Replaced,Unresponsive
WC-00960,LAP-SOL-0011,Motherboard,2026-04-17,27,157.8,Replaced,Overheating
WC-00961,EAR-SOL-0012,Charging Case,2024-01-12,603,50.18,Refunded,Battery drains fast
WC-00962,WCH-ORB-0014,Display,2025-02-17,191,67.33,Refunded,Cracked/damaged
WC-00963,LAP-SOL-0019,RAM Module,2025-03-24,530,175.53,Refunded,Overheating
WC-00964,TAB-VOR-0018,Battery,2024-02-27,196,80.07,Repaired,Malfunctioning
WC-00965,TAB-EMB-0011,Charging Port,2025-04-25,587,19.05,Repaired,Random shutdowns
WC-00966,PHN-EMB-0022,Logic Board,2024-09-29,943,156.13,Repaired,Malfunctioning
WC-00967,EAR-ZEN-0004,Bluetooth Chip,2026-04-11,655,39.44,Replaced,Cracked/damaged
WC-00968,EAR-SOL-0003,Battery,2024-07-23,90,46.51,Refunded,Malfunctioning
WC-00969,PHN-EMB-0013,Charging Port,2025-04-20,346,39.22,Repaired,Not charging
WC-00970,LAP-NIM-0012,Display Panel,2024-06-13,423,170.12,Pending,Battery drains fast
WC-00971,WCH-ZEN-0018,Logic Board,2024-04-22,860,91.29,Replaced,Not charging
WC-00972,TAB-VOR-0017,Logic Board,2025-05-19,206,322.3,Pending,Battery drains fast
WC-00973,LAP-ZEN-0013,Cooling Fan,2025-03-13,438,31.71,Repaired,Not charging
WC-00974,PHN-ORB-0011,Logic Board,2025-11-17,750,402.04,Replaced,Unresponsive
WC-00975,WCH-SOL-0002,Strap/Band,2024-01-25,781,25.07,Replaced,Not charging
WC-00976,TAB-EMB-0011,Speaker Unit,2025-02-14,596,18.12,Repaired,Overheating
WC-00977,LAP-ORB-0005,Battery,2024-04-16,609,104.05,Pending,Not charging
WC-00978,LAP-NIM-0002,Motherboard,2025-03-26,190,241.46,Replaced,Won't power on
WC-00979,LAP-ZEN-0030,Webcam Module,2025-03-09,123,32.05,Replaced,Cracked/damaged
WC-00980,LAP-VOR-0018,Motherboard,2026-01-30,517,235.13,Replaced,Random shutdowns
WC-00981,TAB-VOR-0015,Logic Board,2025-10-01,851,169.7,Pending,Malfunctioning
WC-00982,LAP-EMB-0020,Keyboard Assembly,2026-01-22,810,56.34,Repaired,Cracked/damaged
WC-00983,LAP-SOL-0011,Motherboard,2024-08-12,851,181.57,Replaced,Won't power on
WC-00984,PHN-NIM-0008,Battery,2026-04-27,678,47.01,Repaired,Malfunctioning
WC-00985,LAP-EMB-0003,Display Panel,2025-11-15,891,115.87,Refunded,Cracked/damaged
WC-00986,LAP-SOL-0011,Motherboard,2025-11-25,580,187.69,Repaired,Battery drains fast
WC-00987,LAP-SOL-0011,Battery,2024-12-08,187,104.47,Refunded,Overheating
WC-00988,PHN-SOL-0027,Logic Board,2025-03-15,570,449.06,Refunded,Overheating
WC-00989,PHN-EMB-0022,Logic Board,2025-08-03,401,161.22,Repaired,Unresponsive
WC-00990,LAP-ZEN-0034,Cooling Fan,2025-08-03,419,33.88,Replaced,Not charging
WC-00991,TAB-EMB-0011,Logic Board,2025-03-20,796,258.42,Refunded,Random shutdowns
WC-00992,PHN-EMB-0033,OLED Display,2026-05-10,807,268.19,Replaced,Malfunctioning
WC-00993,WCH-ZEN-0007,Battery,2025-11-18,708,46.12,Replaced,Cracked/damaged
WC-00994,TAB-ORB-0003,Logic Board,2024-07-30,865,301.92,Pending,Overheating
WC-00995,LAP-NIM-0006,RAM Module,2024-01-22,499,107.73,Refunded,Not charging
WC-00996,WCH-ZEN-0007,Battery,2025-09-13,705,51.42,Replaced,Overheating
WC-00997,WCH-ZEN-0018,Logic Board,2024-01-14,470,105.28,Pending,Not charging
WC-00998,LAP-ZEN-0013,Display Panel,2024-01-31,965,144.88,Replaced,Battery drains fast
WC-00999,TAB-NIM-0020,Battery,2024-11-25,734,61.55,Repaired,Not charging
WC-01000,LAP-VOR-0016,Motherboard,2025-10-16,258,260.38,Refunded,Random shutdowns
WC-01001,LAP-ZEN-0030,Cooling Fan,2025-03-21,311,43.88,Refunded,Not charging
WC-01002,LAP-EMB-0003,Battery,2026-02-01,495,135.64,Replaced,Won't power on
WC-01003,TAB-VOR-0017,Battery,2026-05-21,489,90.21,Pending,Random shutdowns
WC-01004,LAP-ZEN-0031,Cooling Fan,2026-04-22,99,56.96,Pending,Battery drains fast
WC-01005,LAP-VOR-0009,Display Panel,2025-09-03,206,235.17,Pending,Won't power on
WC-01006,LAP-EMB-0008,Battery,2024-01-11,195,73.65,Repaired,Battery drains fast
WC-01007,LAP-NIM-0002,Cooling Fan,2025-11-30,852,55.0,Replaced,Overheating
WC-01008,PHN-NIM-0008,OLED Display,2024-06-19,916,253.14,Replaced,Won't power on
WC-01009,TAB-ZEN-0009,Touch Display,2026-02-04,354,248.1,Pending,Overheating
WC-01010,PHN-NIM-0026,Logic Board,2025-12-17,111,447.84,Pending,Random shutdowns
WC-01011,TAB-NIM-0007,Logic Board,2025-04-23,124,233.5,Refunded,Cracked/damaged
WC-01012,WCH-ORB-0003,Battery,2026-01-04,923,42.0,Pending,Unresponsive
WC-01013,TAB-EMB-0006,Logic Board,2024-07-14,465,152.84,Replaced,Overheating
WC-01014,WCH-EMB-0010,Logic Board,2024-08-14,63,110.27,Repaired,Not charging
WC-01015,LAP-ZEN-0030,SSD Storage,2025-07-14,454,180.59,Repaired,Not charging
WC-01016,LAP-ORB-0022,Motherboard,2025-08-01,77,397.25,Replaced,Battery drains fast
WC-01017,LAP-SOL-0007,Cooling Fan,2024-12-18,956,41.79,Refunded,Malfunctioning
WC-01018,LAP-NIM-0025,Battery,2025-06-12,174,140.33,Pending,Not charging
WC-01019,LAP-VOR-0035,Motherboard,2024-09-13,459,376.5,Refunded,Malfunctioning
WC-01020,WCH-SOL-0009,Battery,2026-04-29,656,53.02,Refunded,Malfunctioning
WC-01021,TAB-ORB-0003,Logic Board,2025-01-01,495,443.25,Refunded,Not charging
WC-01022,TAB-NIM-0022,Logic Board,2024-06-11,464,207.44,Repaired,Not charging
WC-01023,PHN-ORB-0031,Battery,2025-07-06,426,83.31,Pending,Cracked/damaged
WC-01024,TAB-EMB-0011,Logic Board,2024-11-19,962,242.63,Replaced,Malfunctioning
WC-01025,LAP-ORB-0005,Battery,2024-09-29,249,69.28,Pending,Overheating
WC-01026,PHN-EMB-0009,Charging Port,2024-10-31,474,32.8,Replaced,Cracked/damaged
WC-01027,PHN-NIM-0021,Battery,2024-05-16,659,69.81,Pending,Malfunctioning
WC-01028,PHN-ORB-0031,Battery,2024-07-16,166,72.33,Replaced,Battery drains fast
WC-01029,WCH-NIM-0011,Logic Board,2026-02-26,489,134.19,Replaced,Random shutdowns
WC-01030,PHN-EMB-0033,Battery,2025-07-21,143,47.84,Pending,Malfunctioning
WC-01031,PHN-SOL-0010,Battery,2024-11-20,894,45.29,Pending,Cracked/damaged
WC-01032,PHN-EMB-0013,Logic Board,2026-02-26,237,278.37,Replaced,Cracked/damaged
WC-01033,LAP-ZEN-0026,Keyboard Assembly,2025-06-09,380,53.23,Repaired,Malfunctioning
WC-01034,LAP-ORB-0022,Display Panel,2025-04-11,972,314.02,Replaced,Unresponsive
WC-01035,EAR-ZEN-0004,Charging Case,2026-02-19,808,47.24,Refunded,Not charging
WC-01036,WCH-ZEN-0012,Battery,2025-09-01,557,49.58,Repaired,Unresponsive
WC-01037,PHN-EMB-0013,Charging Port,2024-11-13,329,24.33,Repaired,Malfunctioning
WC-01038,PHN-ZEN-0002,Charging Port,2024-03-12,195,39.27,Pending,Random shutdowns
WC-01039,TAB-EMB-0013,Logic Board,2026-02-20,317,297.72,Repaired,Overheating
WC-01040,WCH-NIM-0001,Battery,2025-03-13,638,34.99,Repaired,Overheating
WC-01041,PHN-ZEN-0023,Charging Port,2024-01-14,581,55.29,Pending,Unresponsive
WC-01042,PHN-EMB-0013,Battery,2024-08-24,764,72.48,Replaced,Unresponsive
WC-01043,WCH-SOL-0004,Logic Board,2026-01-02,822,105.02,Repaired,Cracked/damaged
WC-01044,WCH-SOL-0009,Logic Board,2025-05-18,210,58.54,Pending,Overheating
WC-01045,LAP-EMB-0008,Battery,2024-10-21,257,58.8,Pending,Unresponsive
WC-01046,PHN-NIM-0016,Logic Board,2025-02-21,742,181.61,Pending,Unresponsive
WC-01047,LAP-NIM-0002,Battery,2024-05-26,31,45.73,Refunded,Malfunctioning
WC-01048,PHN-EMB-0033,Charging Port,2025-01-13,423,21.13,Pending,Not charging
WC-01049,LAP-EMB-0020,Battery,2026-04-17,441,174.24,Replaced,Unresponsive
WC-01050,WCH-ZEN-0018,Logic Board,2024-05-13,424,98.33,Refunded,Unresponsive
WC-01051,PHN-ZEN-0002,Battery,2025-12-30,42,59.55,Pending,Won't power on
WC-01052,EAR-VOR-0009,Charging Case,2024-05-22,668,26.68,Repaired,Malfunctioning
WC-01053,LAP-ORB-0024,Cooling Fan,2025-04-09,74,34.04,Pending,Cracked/damaged
WC-01054,PHN-EMB-0013,Logic Board,2024-01-31,591,199.45,Pending,Overheating
